employeur_or,employeur,commune,lat,long,departement,pays,type_employ,intitule_or,intitule,type,date,annee
Les archives départementales de Seine-et-Marne,archives départementales de Seine-et-Marne,Dammarie-les-Lys,48.515277777778,2.6344444444444,Seine-et-Marne,France,Conseil départemental,Un Chef du bureau des archives notariales h/f,Un Chef du bureau des archives notariales ,Public,31/05/2007,2007
Société Générad’Archives,La Société Générale D’Archives,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,Un(e) archiviste en CDI,Un archiviste en CDI,Privé,16/04/2007,2007
Les archives départementales des Ardennes,archives départementales des Ardennes,Charleville-Mézières,49.76,4.7194444444444,Ardennes,France,Conseil départemental,un responsable Du pôle Technologies de conservation et de diffusion,un responsable Du pôle Technologies de conservation et de diffusion,Public,03/07/2012,2012
Les Archives départementales des Hautes-Pyrénées,archives départementales des Hautes-Pyrénées,Tarbes,43.232777777778,0.074444444444444,Hautes-Pyrénées,France,Conseil départemental,Recrutent un attaché de conservation archiviste,Recrutent un attaché de conservation archiviste,Public,08/09/2009,2009
Les archives départementales des Hautes-Pyrénées,archives départementales des Hautes-Pyrénées,Tarbes,43.232777777778,0.074444444444444,Hautes-Pyrénées,France,Conseil départemental,Attaché de conservation archiviste,Attaché de conservation archiviste,Public,04/02/2009,2009
Les archives départementales des Hautes-Pyrénées,archives départementales des Hautes-Pyrénées,Tarbes,43.232777777778,0.074444444444444,Hautes-Pyrénées,France,Conseil départemental,un assistant ou assistant qualifié,un assistant ou assistant qualifié,Public,26/02/2008,2008
EURODOC Services (1),EURODOC Services,Saint-Paul-lès-Durance,43.686666666667,5.7077777777778,Bouches-du-Rhône,France,Entreprise,Un(e) archiviste confirmé(e),Un archiviste confirmé,Privé,30/03/2007,2007
EURODOC Services (2),EURODOC Services,Saint-Paul-lès-Durance,43.686666666667,5.7077777777778,Bouches-du-Rhône,France,Entreprise,Un(e) archiviste junior,Un archiviste junior,Privé,30/03/2007,2007
Les archives départementales des Landes,archives départementales des Landes,Mont-de-Marsan,43.890277777778,-0.50055555555556,Landes,France,Conseil départemental,un Responsable Scientifique de la salDe lecture et des recherches (h/f),un Responsable Scientifique de la salle de lecture et des recherches,Public,29/11/2016,2016
Les archives départementales du Calvados,archives départementales du Calvados,Caen,49.182222222222,-0.37055555555556,Calvados,France,Conseil départemental,un assistant ou assistant qualifié de conservation du patrimoine,un assistant ou assistant qualifié de conservation du patrimoine,Public,23/02/2008,2008
Association des Amis du Patrimoine de Armement de Tul(APAT),Association des Amis du Patrimoine de l’Armement de Tulle (APAT),Tulle,45.265833333333,1.7722222222222,Corrèze,France,Entreprise,un(e) archiviste,un archiviste,Privé,09/03/2007,2007
Les archives départementales du Cher,archives départementales du Cher,Bourges,47.083611111111,2.3955555555556,Cher,France,Conseil départemental,un(e) attaché(e) de conservation,un attaché de conservation,Public,18/07/2007,2007
Les archives départementales du Cher,archives départementales du Cher,Bourges,47.083611111111,2.3955555555556,Cher,France,Conseil départemental,un responsable De Collecte et du traitement des archives,un responsable De Collecte et du traitement des archives,Public,12/04/2007,2007
Les archives départementales du Morbihan,archives départementales du Morbihan,Vannes,47.655,-2.7616666666667,Morbihan,France,Conseil départemental,un assistant archiviste (H/F),un assistant archiviste,Public,18/03/2011,2011
SERDA,La SERDA,Franconville,48.988055555556,2.2305555555556,Val-d'Oise,France,Entreprise,un spécialiste en gestion des archives ou ingénierie de l’information,un spécialiste en gestion des archives ou ingénierie de l’information,Privé,09/03/2007,2007
société Archirun,La société Archirun,NA,,,La Réunion,France,Entreprise,un(e) colloborateur (trice),un collaborateur,Privé,09/03/2007,2007
AAF,Association des archivistes français,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un(e) assistant(e) chargé(e) du fonctionnement du centre de formation,un assistant chargé du fonctionnement du centre de formation,Privé,09/03/2007,2007
société LIFING,La société LIFING,Lyon,45.758888888889,4.8413888888889,Rhône,France,Entreprise,des responsables des techniques d’archivage,des responsables des techniques d’archivage,Privé,09/03/2007,2007
Les archives départementales du Rhône,couvent des carmes déchaussés de Lyon,Lyon,45.758888888889,4.8413888888889,Rhône,France,Conseil départemental,un(e) attaché(e) de conservation du patrimoine - catégorie A,un attaché de conservation du patrimoine - catégorie A,Public,02/10/2007,2007
Les Archives départementales du Rhône,couvent des carmes déchaussés de Lyon,Lyon,45.758888888889,4.8413888888889,Rhône,France,Conseil départemental,un chargé de numérisation des fonds des archives départementales,un chargé de numérisation des fonds des archives départementales,Public,09/03/2007,2007
Institut Pasteur,institut Pasteur,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un Technicien Supérieur Archiviste (H/F),un Technicien Supérieur Archiviste,Privé,08/03/2007,2007
LOCARCHIVES,Locarchives,Saint-Ouen-sur-Seine,48.906944444444,2.3330555555556,Seine-Saint-Denis,France,Entreprise,un(e) consultant(e),un consultant,Privé,08/03/2007,2007
Les archives départementales du Val d’Oise,archives départementales du Val-d'Oise,Pontoise,49.050833333333,2.1008333333333,Val-d'Oise,France,Conseil départemental,"Chef du service des archives communales  Attaché de conservation du patrimoine, chargé d’études documentaires (h/f)","Chef du service des archives communales Attaché de conservation du patrimoine, chargé d’études documentaires",Public,21/05/2010,2010
Les archives municipales de Saint-Etienne,archives municipales de Saint-Étienne,Saint-Étienne,45.433888888889,4.3897222222222,Loire,France,Conseil départemental,un-e responsable Du service des actions culturelles et éducatives (cadre d’emploi des attachés de conservation),un responsable Du service des actions culturelles et éducatives (cadre d’emploi des attachés de conservation),Public,21/02/2013,2013
LilMétropole,Métropole européenne de Lille,Lille,50.631944444444,3.0575,Nord,France,EPCI,"un agent (H/F) de catégorie B, filière culturelle ou administrative","un agent de catégorie B, filière culturelle ou administrative",Public,20/11/2012,2012
LilMétropole,Métropole européenne de Lille,Lille,50.631944444444,3.0575,Nord,France,EPCI,le responsable (H/F) de l’Unité fonctionnelle « Archives »,le responsable de l’Unité fonctionnelle  Archives,Public,05/03/2012,2012
Lyon MétropoHabitat,Lyon Métropole Habitat,Lyon,45.758888888889,4.8413888888889,Rhône,France,EPCI,un archiviste (h/f),un archiviste,Public,12/06/2019,2019
